Point ID,CriticalType,NodeId,Points:0,Points:1,Points:2,Points_Magnitude,RegionSize,RegionSpan,Scalar,VertexId
86,0,86,0.977452,0.211156,0,1,0,0,0.00193484,86
87,0,87,0.976924,0.213588,0.000578838,1,0,1,0.00455146,87
88,0,88,0.976389,0.216018,0.00091742,1,0,1,0.00608201,88
89,0,89,0.975849,0.218447,0.000494903,1,0,0,0.00417204,89
90,0,90,0.975302,0.220874,0.00088043,1,0,1,0.0059148,90
91,0,91,0.97475,0.223301,0.00145628,1,0,1,0.00851791,91
92,0,92,0.974191,0.225726,0.000617372,1,0,1,0.00472565,92
93,0,93,0.973626,0.228149,0.0013665,1,0,1,0.00811205,93
94,0,94,0.973055,0.230571,0.000967375,1,0,1,0.00630783,94
95,0,95,0.972479,0.232992,0.000952507,1,0,1,0.00624062,95
96,0,96,0.971896,0.235411,0.00115159,1,0,0,0.00714058,96
97,0,97,0.971307,0.237829,0.000350404,1,0,1,0.00351883,97
98,0,98,0.970712,0.240245,0.000623206,1,0,2,0.00475202,98
99,0,99,0.970111,0.24266,0.00081419,1,0,1,0.00561536,99
100,1,100,0.220268,0.975439,0.111102,1.00615,0,0,0.504169,1084
101,1,101,0.462561,0.886588,0.102499,1.00524,0,0,0.465277,876
102,1,102,0.385986,0.922505,0.106258,1.00563,0,1,0.482272,944
103,1,103,-0.739945,0.672667,0.106357,1.00564,0,1,0.482719,1932
104,1,104,-0.818418,-0.574624,0.115247,1.00662,0,0,0.522904,3017
105,1,105,0.993737,0.111744,0.105263,1.00552,0,0,0.477771,144
106,1,106,0.975576,0.219661,0.110348,1.00607,1,1,0.50076,188
107,1,107,0.226332,0.97405,0.113303,1.0064,0,1,0.514116,1079
108,1,108,-0.972188,-0.234201,0.102048,1.00519,0,0,0.46324,2715
109,1,109,-0.953899,-0.300129,0.111839,1.00623,1,0,0.507499,2770
110,1,110,-0.0167958,-0.999859,0.121426,1.00735,0,0,0.550835,3774
111,1,111,0.439241,-0.898369,0.104242,1.00542,0,1,0.473158,4153
112,1,112,-0.0354521,0.999371,0.104459,1.00544,0,1,0.474136,1291
113,1,113,-0.287642,-0.957738,0.11406,1.00648,0,1,0.517537,3553
114,1,114,0.857078,0.515186,0.115032,1.00659,0,1,0.521932,435
115,1,115,0.899188,0.437563,0.104532,1.00545,0,0,0.474468,364
116,1,116,0.912869,0.408252,0.104703,1.00547,1,0,0.475242,338
117,1,117,-0.596308,-0.802756,0.10419,1.00541,0,0,0.47292,3274
118,1,118,-0.639339,-0.768925,0.115387,1.00664,0,0,0.523539,3230
119,1,119,-0.867783,-0.496944,0.0968784,1.00468,0,1,0.43987,2943
120,1,120,-0.56491,0.825153,0.112349,1.00629,0,0,0.509803,1745
121,1,121,-0.98074,-0.195319,0.102255,1.00521,0,0,0.464176,2683
122,1,122,-0.936484,0.350709,0.104011,1.00539,0,1,0.472113,2237
123,1,123,0.501795,0.864987,0.0929702,1.00431,0,0,0.422203,840
124,1,124,0.51785,0.855472,0.0967013,1.00466,0,0,0.43907,825
125,1,125,-0.965414,-0.260722,0.115415,1.00664,0,0,0.523662,2737
126,1,126,-0.150595,-0.988596,0.115744,1.00668,0,0,0.525152,3666
127,1,127,-0.615117,0.788436,0.113246,1.00639,0,0,0.51386,1795
128,1,128,0.184936,-0.982751,0.0984752,1.00484,0,0,0.447089,3937
129,1,129,0.0752029,-0.997168,0.0955875,1.00456,0,0,0.434035,3848
130,1,130,0.0987525,-0.995112,0.099378,1.00493,0,1,0.45117,3867
131,1,131,-0.964105,0.265523,0.102618,1.00525,0,0,0.465816,2309
132,1,132,-0.953899,0.300129,0.109653,1.00599,0,0,0.497618,2280
133,1,133,-0.980004,-0.198978,0.117764,1.00691,0,0,0.534284,2686
134,1,134,0.948526,0.316698,0.114201,1.0065,0,0,0.518174,259
135,1,135,0.160427,-0.987048,0.1089,1.00591,0,1,0.494212,3917
136,1,136,-0.11607,0.993241,0.11317,1.00638,0,1,0.513516,1356
137,1,137,-0.127185,-0.991879,0.114723,1.00656,0,1,0.520534,3685
138,1,138,0.563883,0.825855,0.115235,1.00662,0,1,0.522851,781
139,1,139,-0.99766,0.0683774,0.119845,1.00716,0,1,0.543689,2470
140,1,140,-0.692218,0.721688,0.116301,1.00674,0,0,0.527671,1877
141,1,141,-0.534776,0.844994,0.116424,1.00675,0,0,0.528225,1716
142,1,142,-0.518914,0.854827,0.118643,1.00701,0,0,0.538256,1701
143,1,143,-0.696694,0.717368,0.119449,1.00711,0,0,0.541901,1882
144,1,144,-0.793385,0.60872,0.113536,1.00642,0,0,0.515168,1999
145,1,145,0.762925,0.646487,0.126833,1.00801,0,0,0.575277,565
146,1,146,0.58021,0.814467,0.106879,1.0057,0,1,0.485079,765
147,1,147,0.078924,-0.996881,0.108905,1.00591,0,1,0.494238,3851
148,1,148,-0.847315,0.531091,0.108961,1.00592,0,0,0.49449,2075
149,1,149,-0.835209,0.549933,0.111524,1.0062,0,0,0.506075,2057
150,1,150,-0.857078,0.515186,0.11345,1.00641,0,1,0.51478,2090
151,1,151,-0.70203,-0.712147,0.103552,1.00535,0,0,0.47004,3162
152,1,152,-0.698477,-0.715632,0.109489,1.00598,0,0,0.496874,3166
153,1,153,-0.503946,-0.863735,0.113562,1.00643,0,1,0.51529,3363
154,1,154,0.615117,0.788436,0.115259,1.00662,0,1,0.522959,730
155,1,155,-0.927002,-0.375055,0.116499,1.00676,0,1,0.528564,2834
156,1,156,0.595309,0.803497,0.116522,1.00677,0,1,0.528667,750
157,1,157,-0.170243,-0.985402,0.11661,1.00678,0,1,0.529067,3650
158,1,158,-0.886875,0.462009,0.116777,1.0068,0,0,0.529819,2139
159,1,159,-0.973055,-0.230571,0.116849,1.0068,2,0,0.530145,2712
160,1,160,-0.959684,0.281081,0.118409,1.00699,0,0,0.537197,2296
